EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
507362,파주장단콩축제,20221125,20221127,126.7417751,37.88977346,경기도 파주시 임진각로 164,A02070200,136
506942,춘천마임축제,20230528,20230604,127.7178558,37.87660116,강원도 춘천시 전역,A02070100,153
506935,천안흥타령춤축제,20231005,20231009,127.1114687,36.81949304,충청남도 천안시 서북구 번영로 208 종합운동장,A02070100,181
506926,진주 남강유등축제,20231008,20231022,128.0802764,35.18974575,경상남도 진주시 남강로 626,A02070100,220
506909,진도신비의바닷길축제,20230420,20230422,126.3529498,34.43376243,전라남도 진도군 신비의바닷길 74 진도청소년수련관,A02070100,261
506895,정선아리랑제,20230914,20230917,128.6659267,37.3772519,강원도 정선군 정선읍 봉양리,A02070100,151
506838,전주 한지문화축제,20220505,20220507,127.1482672,35.82068024,전라북도 전주시 완산구 현무1길 20,A02070200,240
506809,소래포구 축제,20221001,20221003,126.7393253,37.39798068,인천광역시 남동구 장도로 86-17,A02070100,63
506797,이천쌀문화축제,20231018,20231022,127.4448702,37.17989913,경기도 이천시 공원로 48,A02070100,135
506788,원주한지문화제,20230505,20230514,127.9353798,37.33437362,강원도 원주시 한지공원길 151,A02070100,149
506774,울산옹기축제,20230505,20230507,129.2801649,35.43228484,울산광역시 울주군 온양읍 외고산길 23,A02070100,108
506766,경북영주 풍기인삼축제,20211001,20211017,128.5167078,36.87191549,온라인개최,A02070200,199
506708,양양송이축제,20220930,20221002,128.6242258,38.07335664,강원도 양양군 양양읍 남문리,A02070100,147
506690,안성맞춤 남사당 바우덕이 축제,20231006,20231009,127.3101782,37.03187767,경기도 안성시 보개면 남사당로 198-2,A02070100,125
506670,안동국제탈춤페스티벌,20231002,20231009,128.7306589,36.56055235,경상북도 안동시 축제장길 200 탈춤공연장,A02070100,196
506647,아산 성웅이순신축제,20230428,20230430,127.0215032,36.76921669,충청남도 아산시 남부로 370-24 이순신종합운동장,A02070200,179
506616,서귀포칠십리축제,20221014,20221016,126.5675085,33.24194287,제주특별자치도 서귀포시 칠십리로 120-12,A02070200,267
506600,산청한방약초축제,20231006,20231010,127.8293196,35.44104076,경상남도 산청군 금서면 매촌리,A02070100,217
506562,부산자갈치축제,20221013,20221016,129.0306014,35.09666505,부산광역시 중구 자갈치해안로 52,A02070200,102
506545,광안리어방축제,20230512,20230514,129.1187283,35.15323813,부산광역시 수영구 광안동,A02070100,99
506544,봉화송이축제,20220930,20221003,128.7396262,36.89054812,경상북도 봉화군 봉화읍 내성리,A02070200,193
506534,보령머드축제,20230721,20230806,126.510378,36.31510166,충청남도 보령시 신흑동 2269-1,A02070100,175
